epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2527,0.59323,2.27545,0.9142,0.99791,0.97727,0.98289,0.93079,0.36571,0.7191,0.79097,0.000301894,0.000301894,0.000301894
2,118.171,0.36651,0.96491,0.81158,0.99633,0.98109,0.98789,0.92433,0.36695,0.5357,0.79384,0.00054501,0.00054501,0.00054501
3,162.604,0.31145,0.61877,0.79376,0.99457,0.98103,0.9899,0.93242,0.28081,0.38502,0.78671,0.000728131,0.000728131,0.000728131
4,206.269,0.27497,0.45638,0.78828,0.99508,0.98543,0.99307,0.95774,0.2074,0.30939,0.77228,0.000639027,0.000639027,0.000639027
5,249.846,0.22643,0.37056,0.78405,0.99383,0.98716,0.99419,0.98607,0.18552,0.28504,0.76546,0.000549036,0.000549036,0.000549036
6,293.26,0.19215,0.31259,0.7772,0.99391,0.98919,0.99395,0.98696,0.15973,0.23908,0.77295,0.000459045,0.000459045,0.000459045
7,336.838,0.16957,0.27191,0.76826,0.99637,0.98835,0.9946,0.98873,0.15606,0.21463,0.78093,0.000369054,0.000369054,0.000369054
8,380.513,0.15172,0.24705,0.77195,0.99702,0.99197,0.99492,0.98925,0.12319,0.20885,0.76011,0.000279063,0.000279063,0.000279063
9,423.956,0.13458,0.21837,0.77174,0.99844,0.98946,0.99495,0.98926,0.1029,0.16733,0.76533,0.000189072,0.000189072,0.000189072
10,467.581,0.11411,0.19176,0.76183,0.99884,0.99254,0.99495,0.99015,0.09704,0.14972,0.7603,9.9081e-05,9.9081e-05,9.9081e-05
