epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0602,0.73749,2.42909,0.97328,0.99912,0.97652,0.98305,0.90533,0.41606,0.81858,0.77725,0.000301894,0.000301894,0.000301894
2,120.06,0.44671,1.04782,0.83816,0.99843,0.97899,0.98819,0.88944,0.37017,0.50275,0.77009,0.00054501,0.00054501,0.00054501
3,164.056,0.37588,0.65194,0.81776,0.9969,0.98015,0.99181,0.93505,0.25662,0.33436,0.78432,0.000728131,0.000728131,0.000728131
4,207.976,0.32838,0.48378,0.80572,0.99608,0.98385,0.99127,0.92926,0.26013,0.35261,0.78338,0.000639027,0.000639027,0.000639027
5,251.415,0.28113,0.40612,0.79893,0.99082,0.98732,0.99355,0.929,0.22466,0.31218,0.77174,0.000549036,0.000549036,0.000549036
6,294.986,0.24275,0.35737,0.79183,0.99765,0.98565,0.99458,0.94634,0.20636,0.29228,0.77221,0.000459045,0.000459045,0.000459045
7,338.456,0.21402,0.322,0.77857,0.99436,0.98686,0.99475,0.9448,0.1813,0.27654,0.76214,0.000369054,0.000369054,0.000369054
8,382.123,0.18729,0.29746,0.7814,0.99782,0.99023,0.99417,0.96954,0.1951,0.24136,0.76481,0.000279063,0.000279063,0.000279063
9,425.67,0.17118,0.28017,0.77979,0.99638,0.99248,0.9949,0.94778,0.14182,0.24487,0.75631,0.000189072,0.000189072,0.000189072
10,469.08,0.14824,0.26191,0.7713,0.9969,0.9904,0.9949,0.97625,0.11565,0.22438,0.75394,9.9081e-05,9.9081e-05,9.9081e-05
