epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7027,0.74063,2.44643,0.97215,0.99893,0.97705,0.98508,0.89058,0.50411,0.91519,0.82781,0.000301894,0.000301894,0.000301894
2,119.174,0.44201,1.03827,0.83018,0.99782,0.98171,0.989,0.89234,0.41671,0.58384,0.81227,0.00054501,0.00054501,0.00054501
3,164.312,0.38634,0.66971,0.81401,0.99434,0.9864,0.99107,0.91668,0.33289,0.41301,0.80005,0.000728131,0.000728131,0.000728131
4,208.896,0.3338,0.49432,0.80117,0.99347,0.9843,0.99239,0.93713,0.26216,0.33015,0.79313,0.000639027,0.000639027,0.000639027
5,253.163,0.28439,0.40581,0.79666,0.99557,0.9882,0.99474,0.96874,0.21978,0.30097,0.79101,0.000549036,0.000549036,0.000549036
6,297.524,0.24922,0.36092,0.78988,0.99298,0.9885,0.99463,0.95855,0.20618,0.29258,0.79158,0.000459045,0.000459045,0.000459045
7,341.932,0.2189,0.32437,0.77693,0.99498,0.99007,0.99483,0.98767,0.18889,0.27748,0.78318,0.000369054,0.000369054,0.000369054
8,386.499,0.19331,0.30262,0.78109,0.99541,0.98995,0.99484,0.97309,0.17619,0.24845,0.78189,0.000279063,0.000279063,0.000279063
9,430.822,0.17411,0.28063,0.77963,0.99432,0.99205,0.9949,0.96447,0.16311,0.23347,0.78319,0.000189072,0.000189072,0.000189072
10,475.399,0.14982,0.262,0.77048,0.99481,0.99606,0.99497,0.96996,0.12471,0.2388,0.78149,9.9081e-05,9.9081e-05,9.9081e-05
