epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8689,0.75625,2.4614,0.97834,0.9992,0.97704,0.98147,0.90832,0.43944,0.98872,0.79553,0.000301894,0.000301894,0.000301894
2,120.63,0.46005,1.04714,0.83311,0.99625,0.98189,0.98859,0.89525,0.4137,0.55485,0.80303,0.00054501,0.00054501,0.00054501
3,165.829,0.39231,0.65311,0.81478,0.99768,0.97895,0.98991,0.92223,0.36242,0.43867,0.80094,0.000728131,0.000728131,0.000728131
4,210.306,0.3437,0.49029,0.80545,0.99751,0.9826,0.99239,0.94317,0.28101,0.38141,0.78706,0.000639027,0.000639027,0.000639027
5,254.634,0.28902,0.40766,0.79826,0.9932,0.98111,0.99204,0.9536,0.23899,0.33182,0.80225,0.000549036,0.000549036,0.000549036
6,298.918,0.2475,0.35778,0.78967,0.99362,0.98873,0.99459,0.957,0.22244,0.32678,0.77678,0.000459045,0.000459045,0.000459045
7,343.534,0.21817,0.32257,0.77721,0.9912,0.99266,0.99441,0.92438,0.1838,0.27676,0.77996,0.000369054,0.000369054,0.000369054
8,387.834,0.19653,0.29848,0.78078,0.99473,0.99167,0.99474,0.96998,0.22033,0.26813,0.79183,0.000279063,0.000279063,0.000279063
9,432.268,0.17725,0.27827,0.78045,0.9959,0.99382,0.99482,0.97007,0.14221,0.20477,0.78598,0.000189072,0.000189072,0.000189072
10,476.612,0.15151,0.25113,0.76956,0.99658,0.99352,0.99493,0.98919,0.12702,0.16063,0.78333,9.9081e-05,9.9081e-05,9.9081e-05
