epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5665,0.68399,2.34845,0.96556,0.99894,0.97587,0.98399,0.91307,0.41298,0.75311,0.77233,0.000301894,0.000301894,0.000301894
2,117.598,0.42735,0.98009,0.83716,0.9969,0.98071,0.98593,0.93076,0.38333,0.47485,0.75691,0.00054501,0.00054501,0.00054501
3,161.913,0.36764,0.61967,0.81885,0.99301,0.98227,0.98728,0.9379,0.34226,0.3595,0.77678,0.000728131,0.000728131,0.000728131
4,205.635,0.32998,0.45777,0.81221,0.99349,0.98613,0.99117,0.94844,0.32855,0.31831,0.77356,0.000639027,0.000639027,0.000639027
5,249.181,0.27871,0.37436,0.80352,0.99757,0.98098,0.99314,0.95679,0.23251,0.26002,0.75969,0.000549036,0.000549036,0.000549036
6,293.142,0.23866,0.32816,0.79555,0.99595,0.98417,0.99414,0.96515,0.20902,0.25497,0.75692,0.000459045,0.000459045,0.000459045
7,336.791,0.20856,0.29874,0.78202,0.99825,0.98501,0.99402,0.96281,0.18088,0.21507,0.75609,0.000369054,0.000369054,0.000369054
8,380.555,0.17943,0.27823,0.78289,0.99695,0.98724,0.99456,0.95143,0.1341,0.23699,0.73599,0.000279063,0.000279063,0.000279063
9,424.279,0.15852,0.26115,0.77982,0.99866,0.98848,0.99463,0.96874,0.13081,0.20194,0.73903,0.000189072,0.000189072,0.000189072
10,468.055,0.13798,0.23947,0.77216,0.99564,0.99285,0.99445,0.97669,0.1252,0.20157,0.73778,9.9081e-05,9.9081e-05,9.9081e-05
