epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2716,0.74031,2.44598,0.96754,0.99773,0.9785,0.98576,0.91629,0.41706,0.84076,0.80119,0.000301894,0.000301894,0.000301894
2,119.084,0.44859,1.04226,0.82842,0.99862,0.97881,0.98864,0.92025,0.37234,0.5544,0.78291,0.00054501,0.00054501,0.00054501
3,164.196,0.38114,0.6608,0.81023,0.99496,0.9813,0.9933,0.92068,0.32495,0.43802,0.7896,0.000728131,0.000728131,0.000728131
4,208.711,0.34022,0.48857,0.80345,0.99581,0.98208,0.99393,0.93721,0.26608,0.35202,0.79585,0.000639027,0.000639027,0.000639027
5,253.302,0.28801,0.40411,0.79558,0.99575,0.98687,0.99353,0.93709,0.18566,0.32614,0.77186,0.000549036,0.000549036,0.000549036
6,298.046,0.2453,0.35288,0.78912,0.99741,0.98254,0.99339,0.95307,0.1919,0.31084,0.76971,0.000459045,0.000459045,0.000459045
7,343.121,0.2222,0.32107,0.77746,0.99342,0.99039,0.99478,0.9707,0.17023,0.30289,0.77339,0.000369054,0.000369054,0.000369054
8,387.546,0.20045,0.2994,0.78216,0.99684,0.99326,0.99488,0.97326,0.19155,0.28499,0.76011,0.000279063,0.000279063,0.000279063
9,431.965,0.17602,0.27783,0.77991,0.99745,0.99243,0.99497,0.96712,0.16073,0.27864,0.77008,0.000189072,0.000189072,0.000189072
10,476.29,0.15399,0.25762,0.77104,0.99783,0.99332,0.99497,0.96862,0.13368,0.24441,0.7671,9.9081e-05,9.9081e-05,9.9081e-05
