epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.159,0.74959,2.43822,0.97363,0.99807,0.97607,0.98183,0.89969,0.45379,0.88466,0.79114,0.000301894,0.000301894,0.000301894
2,160.329,0.45976,1.04761,0.83664,0.99649,0.98259,0.98813,0.92775,0.38736,0.54723,0.80528,0.00054501,0.00054501,0.00054501
3,205.536,0.40742,0.66474,0.82072,0.9972,0.9804,0.98954,0.90304,0.41496,0.37074,0.8216,0.000728131,0.000728131,0.000728131
4,250.302,0.36277,0.48682,0.81251,0.9971,0.98264,0.99167,0.94589,0.29967,0.3543,0.7825,0.000639027,0.000639027,0.000639027
5,294.675,0.31553,0.41175,0.80444,0.99733,0.98674,0.99215,0.94365,0.26095,0.36494,0.78804,0.000549036,0.000549036,0.000549036
6,339.381,0.27334,0.36313,0.79453,0.99821,0.98153,0.99417,0.94469,0.24375,0.32448,0.78233,0.000459045,0.000459045,0.000459045
7,384.07,0.2442,0.32977,0.78105,0.99455,0.98824,0.99446,0.95277,0.23256,0.27622,0.78894,0.000369054,0.000369054,0.000369054
8,429.118,0.21822,0.30676,0.78444,0.99188,0.9914,0.99486,0.97442,0.22152,0.28631,0.77896,0.000279063,0.000279063,0.000279063
9,473.8,0.19817,0.28819,0.78334,0.99493,0.99192,0.99486,0.96944,0.17397,0.27931,0.76121,0.000189072,0.000189072,0.000189072
10,518.439,0.17647,0.26759,0.77279,0.99461,0.99169,0.99492,0.97731,0.14236,0.23862,0.78016,9.9081e-05,9.9081e-05,9.9081e-05
