epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1417,0.74837,2.44138,0.97374,0.99744,0.9785,0.98338,0.88366,0.43906,0.88276,0.78589,0.000301894,0.000301894,0.000301894
2,120.378,0.46945,1.04201,0.83754,0.99696,0.9789,0.98561,0.90498,0.44249,0.53539,0.7838,0.00054501,0.00054501,0.00054501
3,164.453,0.40099,0.66202,0.81718,0.99425,0.98364,0.99065,0.92474,0.35276,0.34194,0.77966,0.000728131,0.000728131,0.000728131
4,208.031,0.35931,0.48264,0.8094,0.99601,0.98378,0.99202,0.91418,0.34946,0.34482,0.77604,0.000639027,0.000639027,0.000639027
5,252.951,0.30753,0.39634,0.80027,0.99686,0.98171,0.9944,0.95163,0.27366,0.3204,0.76722,0.000549036,0.000549036,0.000549036
6,301.469,0.26749,0.36092,0.79393,0.99261,0.99042,0.99471,0.95483,0.21825,0.28042,0.76666,0.000459045,0.000459045,0.000459045
7,354.518,0.2387,0.32598,0.77998,0.99377,0.99398,0.99484,0.96364,0.20802,0.26142,0.76503,0.000369054,0.000369054,0.000369054
8,400.752,0.21456,0.30688,0.78473,0.99542,0.99141,0.99495,0.96337,0.24412,0.27066,0.78399,0.000279063,0.000279063,0.000279063
9,444.111,0.19606,0.28566,0.78223,0.99631,0.99311,0.99499,0.96696,0.21115,0.25218,0.76295,0.000189072,0.000189072,0.000189072
10,487.738,0.17436,0.26681,0.77293,0.9967,0.99307,0.99497,0.97543,0.17668,0.24211,0.7671,9.9081e-05,9.9081e-05,9.9081e-05
