epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0948,0.6512,2.35177,0.9271,0.99839,0.97955,0.98341,0.90219,0.45401,0.80184,0.79234,0.000301894,0.000301894,0.000301894
2,118.436,0.41281,0.99049,0.81965,0.99775,0.97865,0.9852,0.92122,0.38433,0.58089,0.77494,0.00054501,0.00054501,0.00054501
3,162.774,0.3465,0.62634,0.80375,0.99748,0.98018,0.98852,0.9322,0.33933,0.42971,0.78761,0.000728131,0.000728131,0.000728131
4,206.781,0.30488,0.46774,0.79478,0.9936,0.98326,0.9922,0.95488,0.27773,0.37168,0.77355,0.000639027,0.000639027,0.000639027
5,250.82,0.2527,0.3857,0.78995,0.99281,0.98859,0.99383,0.96101,0.19256,0.31535,0.7684,0.000549036,0.000549036,0.000549036
6,294.615,0.21483,0.32621,0.7816,0.98895,0.98814,0.99445,0.98838,0.15928,0.25228,0.75191,0.000459045,0.000459045,0.000459045
7,338.43,0.18747,0.28459,0.77145,0.98722,0.98715,0.99353,0.98556,0.15909,0.25029,0.75693,0.000369054,0.000369054,0.000369054
8,382.361,0.16682,0.25777,0.77652,0.99666,0.99167,0.99491,0.98832,0.14061,0.21642,0.75375,0.000279063,0.000279063,0.000279063
9,426.302,0.14475,0.23233,0.77292,0.99578,0.98849,0.9949,0.98994,0.11208,0.20469,0.76468,0.000189072,0.000189072,0.000189072
10,470.287,0.12602,0.21245,0.76454,0.99613,0.99252,0.99497,0.98987,0.0984,0.16989,0.75689,9.9081e-05,9.9081e-05,9.9081e-05
