epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2024,0.67018,2.34983,0.94509,0.99659,0.98001,0.98454,0.92963,0.39053,0.79751,0.79488,0.000301894,0.000301894,0.000301894
2,117.347,0.39839,1.00198,0.81932,0.99728,0.98446,0.98872,0.91776,0.37435,0.4862,0.79911,0.00054501,0.00054501,0.00054501
3,161.78,0.34599,0.64415,0.80341,0.99566,0.98414,0.98954,0.95236,0.25787,0.42579,0.79098,0.000728131,0.000728131,0.000728131
4,205.644,0.29492,0.47816,0.79464,0.99668,0.98384,0.99314,0.95779,0.21397,0.36156,0.7772,0.000639027,0.000639027,0.000639027
5,249.424,0.25247,0.39252,0.79031,0.99703,0.98614,0.99374,0.97235,0.18792,0.29013,0.77725,0.000549036,0.000549036,0.000549036
6,293.557,0.21471,0.3475,0.78475,0.99701,0.98526,0.9943,0.948,0.17078,0.28145,0.77869,0.000459045,0.000459045,0.000459045
7,337.103,0.19237,0.31292,0.77322,0.99423,0.98743,0.99435,0.93697,0.163,0.27585,0.77361,0.000369054,0.000369054,0.000369054
8,380.927,0.16727,0.28901,0.77696,0.99391,0.98819,0.99476,0.97254,0.13043,0.25717,0.77155,0.000279063,0.000279063,0.000279063
9,424.663,0.148,0.26725,0.77567,0.99461,0.99388,0.99495,0.96791,0.10763,0.23152,0.76944,0.000189072,0.000189072,0.000189072
10,468.232,0.12747,0.24699,0.76755,0.99534,0.99214,0.99495,0.97661,0.10178,0.23267,0.76808,9.9081e-05,9.9081e-05,9.9081e-05
