epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.1391,0.67585,2.31689,0.95492,0.99917,0.97605,0.98674,0.87396,0.48473,0.8852,0.81018,0.000301894,0.000301894,0.000301894
2,118.347,0.41695,0.97739,0.83416,0.99932,0.97661,0.98693,0.92151,0.42621,0.50486,0.79696,0.00054501,0.00054501,0.00054501
3,162.791,0.35323,0.61417,0.81372,0.9972,0.98063,0.99108,0.94782,0.31357,0.3367,0.80208,0.000728131,0.000728131,0.000728131
4,206.918,0.30315,0.45024,0.80262,0.99846,0.98166,0.993,0.94047,0.30874,0.30559,0.78525,0.000639027,0.000639027,0.000639027
5,250.834,0.25985,0.37235,0.79684,0.99414,0.98161,0.9923,0.95199,0.27626,0.30816,0.78308,0.000549036,0.000549036,0.000549036
6,294.909,0.21877,0.33585,0.78862,0.99394,0.9867,0.9938,0.94056,0.21665,0.30382,0.77665,0.000459045,0.000459045,0.000459045
7,338.652,0.1971,0.30243,0.77704,0.99123,0.98684,0.99446,0.96503,0.18605,0.27867,0.76953,0.000369054,0.000369054,0.000369054
8,382.188,0.16883,0.28247,0.77951,0.99703,0.98787,0.99476,0.93871,0.15029,0.26511,0.74992,0.000279063,0.000279063,0.000279063
9,425.864,0.14934,0.25766,0.77656,0.99277,0.98854,0.99467,0.96519,0.14475,0.25214,0.74931,0.000189072,0.000189072,0.000189072
10,469.749,0.12645,0.23678,0.76844,0.99492,0.98962,0.99484,0.96992,0.10659,0.23593,0.75198,9.9081e-05,9.9081e-05,9.9081e-05
