epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.759,0.60287,2.25938,0.92146,0.99899,0.98,0.98541,0.8883,0.39187,0.78006,0.78451,0.000301894,0.000301894,0.000301894
2,162.191,0.37851,0.97802,0.81546,0.99555,0.97954,0.98779,0.93871,0.31524,0.49573,0.78723,0.00054501,0.00054501,0.00054501
3,206.544,0.33185,0.6291,0.79919,0.99873,0.97714,0.98722,0.94172,0.31622,0.42679,0.79576,0.000728131,0.000728131,0.000728131
4,250.085,0.29128,0.44867,0.79395,0.99423,0.98524,0.99343,0.97686,0.25569,0.28367,0.76657,0.000639027,0.000639027,0.000639027
5,293.942,0.25264,0.37017,0.78741,0.99313,0.98469,0.99259,0.98565,0.21988,0.27508,0.76337,0.000549036,0.000549036,0.000549036
6,337.556,0.22212,0.32014,0.78338,0.99292,0.98325,0.99444,0.98572,0.21501,0.26333,0.75715,0.000459045,0.000459045,0.000459045
7,381.327,0.20316,0.28456,0.77241,0.9928,0.98547,0.99462,0.98795,0.16415,0.2378,0.75341,0.000369054,0.000369054,0.000369054
8,425.006,0.17945,0.25706,0.77464,0.99393,0.99226,0.99488,0.989,0.17497,0.20256,0.76035,0.000279063,0.000279063,0.000279063
9,468.721,0.16171,0.23202,0.77487,0.99208,0.99485,0.99496,0.98896,0.18201,0.16906,0.75992,0.000189072,0.000189072,0.000189072
10,512.432,0.14487,0.21319,0.76433,0.99804,0.99301,0.99499,0.99008,0.1526,0.15534,0.75694,9.9081e-05,9.9081e-05,9.9081e-05
