epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7927,0.73913,2.44644,0.97259,0.99895,0.97531,0.98147,0.92491,0.40194,0.82177,0.79992,0.000301894,0.000301894,0.000301894
2,119.505,0.4617,1.05531,0.8362,0.99907,0.98197,0.98773,0.93235,0.34791,0.52526,0.77212,0.00054501,0.00054501,0.00054501
3,164.432,0.40067,0.67265,0.81636,0.99353,0.98215,0.98768,0.92713,0.32955,0.43495,0.75839,0.000728131,0.000728131,0.000728131
4,208.81,0.34759,0.48786,0.80519,0.99698,0.98039,0.99167,0.94303,0.27651,0.35459,0.75253,0.000639027,0.000639027,0.000639027
5,253.031,0.29837,0.41069,0.7966,0.99644,0.98828,0.99414,0.94981,0.24945,0.31893,0.75098,0.000549036,0.000549036,0.000549036
6,297.513,0.25179,0.35467,0.78992,0.99322,0.98596,0.99374,0.94231,0.20389,0.29728,0.74858,0.000459045,0.000459045,0.000459045
7,341.627,0.21772,0.31933,0.777,0.99544,0.98484,0.99475,0.92734,0.17795,0.29708,0.73444,0.000369054,0.000369054,0.000369054
8,385.962,0.19497,0.29798,0.78075,0.99456,0.99031,0.99484,0.9703,0.17067,0.27315,0.74331,0.000279063,0.000279063,0.000279063
9,430.132,0.17222,0.28178,0.77698,0.99369,0.99328,0.99493,0.96226,0.12802,0.22905,0.73689,0.000189072,0.000189072,0.000189072
10,474.588,0.14921,0.2585,0.77133,0.99696,0.99377,0.99499,0.96563,0.10088,0.22656,0.73154,9.9081e-05,9.9081e-05,9.9081e-05
