epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5528,0.75375,2.43448,0.97989,0.99671,0.97986,0.98578,0.88595,0.46804,0.80804,0.80264,0.000301894,0.000301894,0.000301894
2,119.576,0.47046,1.03787,0.84069,0.99819,0.98071,0.99019,0.91511,0.43641,0.54441,0.81843,0.00054501,0.00054501,0.00054501
3,164.682,0.41578,0.65475,0.82346,0.99846,0.98144,0.99057,0.91128,0.38277,0.34861,0.80415,0.000728131,0.000728131,0.000728131
4,209.272,0.3777,0.47586,0.81601,0.99846,0.98048,0.99244,0.93897,0.3279,0.32614,0.79616,0.000639027,0.000639027,0.000639027
5,253.82,0.3204,0.39977,0.80628,0.99677,0.98558,0.99458,0.97455,0.23223,0.29719,0.77859,0.000549036,0.000549036,0.000549036
6,298.354,0.28342,0.35221,0.79824,0.99168,0.98943,0.99449,0.9558,0.26857,0.28108,0.78626,0.000459045,0.000459045,0.000459045
7,342.62,0.2515,0.32449,0.78264,0.99542,0.991,0.99444,0.94489,0.25675,0.26256,0.79265,0.000369054,0.000369054,0.000369054
8,387.237,0.22274,0.30185,0.78568,0.99134,0.98804,0.99473,0.97029,0.25655,0.28182,0.7902,0.000279063,0.000279063,0.000279063
9,431.738,0.20535,0.28221,0.78342,0.99364,0.99248,0.99484,0.96423,0.20263,0.24093,0.7727,0.000189072,0.000189072,0.000189072
10,476.637,0.18102,0.26158,0.77475,0.99626,0.99283,0.99496,0.96917,0.17947,0.24033,0.76422,9.9081e-05,9.9081e-05,9.9081e-05
