epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1869,0.59038,2.26903,0.91556,0.99827,0.97724,0.98302,0.93582,0.36474,0.80016,0.78063,0.000301894,0.000301894,0.000301894
2,119.253,0.35566,0.94963,0.81084,0.99494,0.98039,0.99027,0.91395,0.32764,0.50384,0.80606,0.00054501,0.00054501,0.00054501
3,163.632,0.32093,0.6111,0.80027,0.99667,0.98191,0.98878,0.93127,0.29317,0.3969,0.80334,0.000728131,0.000728131,0.000728131
4,207.411,0.2744,0.44635,0.79087,0.99687,0.9813,0.99303,0.94207,0.22168,0.34269,0.772,0.000639027,0.000639027,0.000639027
5,250.936,0.22607,0.36432,0.7852,0.99474,0.98394,0.99419,0.98149,0.19137,0.26838,0.78017,0.000549036,0.000549036,0.000549036
6,294.844,0.20179,0.31117,0.78044,0.99888,0.98454,0.99464,0.98799,0.15068,0.23657,0.78444,0.000459045,0.000459045,0.000459045
7,338.343,0.18426,0.28138,0.77121,0.99674,0.98787,0.99476,0.98377,0.15309,0.22618,0.77313,0.000369054,0.000369054,0.000369054
8,381.861,0.15007,0.2491,0.77318,0.99494,0.99302,0.9949,0.98951,0.11116,0.20567,0.77665,0.000279063,0.000279063,0.000279063
9,425.383,0.13083,0.21971,0.77323,0.9938,0.99371,0.99492,0.98946,0.09937,0.17109,0.77637,0.000189072,0.000189072,0.000189072
10,469.014,0.11236,0.194,0.76276,0.99602,0.99226,0.99494,0.98981,0.08933,0.15107,0.78042,9.9081e-05,9.9081e-05,9.9081e-05
