epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6127,0.63107,2.32127,0.92997,0.999,0.97511,0.98516,0.90015,0.39206,0.78352,0.79201,0.000301894,0.000301894,0.000301894
2,133.284,0.40344,0.99343,0.82107,0.99737,0.97968,0.98858,0.91977,0.34062,0.55431,0.78984,0.00054501,0.00054501,0.00054501
3,179.64,0.33943,0.62536,0.80372,0.99465,0.98346,0.9909,0.94446,0.27349,0.36733,0.79826,0.000728131,0.000728131,0.000728131
4,225.567,0.29385,0.46923,0.79348,0.99072,0.98276,0.99332,0.97063,0.22196,0.32228,0.77768,0.000639027,0.000639027,0.000639027
5,270.113,0.24261,0.38412,0.78903,0.99568,0.98879,0.99432,0.95587,0.19788,0.33728,0.79611,0.000549036,0.000549036,0.000549036
6,314.011,0.20934,0.33927,0.78135,0.99707,0.98591,0.99436,0.95605,0.16414,0.31673,0.78104,0.000459045,0.000459045,0.000459045
7,357.612,0.18883,0.30631,0.77175,0.98509,0.98915,0.99475,0.96774,0.13791,0.26196,0.77562,0.000369054,0.000369054,0.000369054
8,401.09,0.16117,0.26906,0.77574,0.99603,0.99106,0.99473,0.98295,0.11957,0.22441,0.78923,0.000279063,0.000279063,0.000279063
9,444.684,0.14474,0.23727,0.7749,0.99808,0.99273,0.99493,0.98959,0.1121,0.19463,0.77691,0.000189072,0.000189072,0.000189072
10,488.337,0.12483,0.21161,0.76496,0.99793,0.99123,0.99499,0.99007,0.10791,0.18223,0.78079,9.9081e-05,9.9081e-05,9.9081e-05
