epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8285,0.59002,2.2729,0.91847,0.99814,0.97866,0.98559,0.91858,0.36249,0.7548,0.78119,0.000301894,0.000301894,0.000301894
2,118.802,0.365,0.97432,0.81417,0.99188,0.97808,0.98699,0.9345,0.3258,0.52268,0.79213,0.00054501,0.00054501,0.00054501
3,163.115,0.31781,0.62357,0.79821,0.99851,0.98117,0.99192,0.91757,0.28724,0.38993,0.78811,0.000728131,0.000728131,0.000728131
4,206.847,0.27375,0.45619,0.79004,0.99438,0.98586,0.99416,0.93897,0.23046,0.33658,0.75487,0.000639027,0.000639027,0.000639027
5,250.33,0.22999,0.37107,0.78466,0.99676,0.98464,0.99348,0.9411,0.20681,0.32623,0.77091,0.000549036,0.000549036,0.000549036
6,293.947,0.20356,0.32742,0.78035,0.99484,0.98829,0.99491,0.94095,0.17203,0.30451,0.7553,0.000459045,0.000459045,0.000459045
7,337.449,0.18129,0.29201,0.77127,0.99772,0.98714,0.99374,0.94468,0.16689,0.29033,0.7657,0.000369054,0.000369054,0.000369054
8,381.027,0.16245,0.25555,0.77531,0.99318,0.99203,0.99488,0.9888,0.14182,0.19919,0.75925,0.000279063,0.000279063,0.000279063
9,424.629,0.14415,0.22357,0.77518,0.9984,0.98795,0.99485,0.98984,0.12667,0.16293,0.75335,0.000189072,0.000189072,0.000189072
10,468.255,0.12148,0.19532,0.76502,0.99862,0.99109,0.99487,0.99041,0.11276,0.14737,0.75748,9.9081e-05,9.9081e-05,9.9081e-05
