epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.117,0.731,2.44384,0.96286,0.99842,0.97641,0.98461,0.90491,0.42769,0.7979,0.7898,0.000301894,0.000301894,0.000301894
2,120.765,0.46262,1.0409,0.8337,0.99659,0.98025,0.98955,0.8991,0.43926,0.55406,0.79175,0.00054501,0.00054501,0.00054501
3,165.475,0.40314,0.66648,0.81624,0.99767,0.97917,0.9868,0.92618,0.35953,0.46191,0.81515,0.000728131,0.000728131,0.000728131
4,209.845,0.35316,0.49784,0.80697,0.99531,0.98702,0.99263,0.93393,0.38522,0.3751,0.80168,0.000639027,0.000639027,0.000639027
5,253.908,0.30288,0.41017,0.79895,0.99569,0.98591,0.99403,0.93809,0.31159,0.36698,0.80368,0.000549036,0.000549036,0.000549036
6,298.332,0.26468,0.36318,0.79117,0.98898,0.98752,0.99369,0.92718,0.26758,0.31036,0.78927,0.000459045,0.000459045,0.000459045
7,342.378,0.24238,0.32921,0.78087,0.9956,0.98941,0.99473,0.95013,0.21626,0.26839,0.79065,0.000369054,0.000369054,0.000369054
8,386.68,0.21286,0.30454,0.78288,0.99488,0.98942,0.99481,0.95749,0.22367,0.29098,0.78257,0.000279063,0.000279063,0.000279063
9,430.746,0.19706,0.28876,0.78197,0.99514,0.99304,0.99493,0.97349,0.18616,0.25594,0.78008,0.000189072,0.000189072,0.000189072
10,474.836,0.17375,0.26732,0.77154,0.99456,0.9939,0.99496,0.97564,0.16801,0.24214,0.77747,9.9081e-05,9.9081e-05,9.9081e-05
