epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2368,0.72839,2.42642,0.9594,0.99818,0.97661,0.98505,0.91525,0.42203,0.77759,0.78832,0.000301894,0.000301894,0.000301894
2,118.626,0.45934,1.03039,0.83299,0.999,0.97934,0.98711,0.87383,0.44158,0.64061,0.78052,0.00054501,0.00054501,0.00054501
3,163.501,0.39691,0.64556,0.81413,0.99106,0.98205,0.98785,0.95261,0.36204,0.41128,0.79176,0.000728131,0.000728131,0.000728131
4,207.522,0.35615,0.48443,0.80559,0.99127,0.98143,0.99005,0.94435,0.29689,0.36736,0.74866,0.000639027,0.000639027,0.000639027
5,251.552,0.29842,0.40082,0.79681,0.99545,0.98762,0.99424,0.9475,0.23306,0.3314,0.7491,0.000549036,0.000549036,0.000549036
6,295.905,0.25148,0.35357,0.78932,0.99521,0.98797,0.99472,0.9751,0.22357,0.32123,0.73568,0.000459045,0.000459045,0.000459045
7,339.91,0.2237,0.31898,0.77783,0.99577,0.98719,0.99477,0.96066,0.22082,0.27461,0.73294,0.000369054,0.000369054,0.000369054
8,383.87,0.19939,0.29478,0.78164,0.99242,0.99087,0.99493,0.96189,0.20545,0.30492,0.744,0.000279063,0.000279063,0.000279063
9,428.047,0.1813,0.27978,0.77822,0.99778,0.99229,0.99496,0.96478,0.14337,0.25228,0.73858,0.000189072,0.000189072,0.000189072
10,472.044,0.15406,0.26121,0.7706,0.99677,0.99212,0.99498,0.97325,0.12715,0.23331,0.73524,9.9081e-05,9.9081e-05,9.9081e-05
