epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3869,0.6675,2.34832,0.93808,0.99617,0.97978,0.98683,0.91033,0.40146,0.76165,0.80062,0.000301894,0.000301894,0.000301894
2,129.266,0.40265,0.99347,0.81481,0.99723,0.97968,0.98697,0.93265,0.34735,0.55648,0.77824,0.00054501,0.00054501,0.00054501
3,173.957,0.34856,0.62836,0.80053,0.99635,0.98016,0.99038,0.94582,0.28959,0.36071,0.7747,0.000728131,0.000728131,0.000728131
4,217.919,0.30514,0.47252,0.79217,0.99505,0.98278,0.99216,0.93179,0.25126,0.37166,0.7665,0.000639027,0.000639027,0.000639027
5,261.712,0.25569,0.39083,0.7878,0.99296,0.98882,0.99342,0.93288,0.23071,0.36234,0.76487,0.000549036,0.000549036,0.000549036
6,306.082,0.21867,0.34413,0.78151,0.99679,0.98783,0.99473,0.95565,0.16162,0.29911,0.75139,0.000459045,0.000459045,0.000459045
7,350.035,0.19346,0.31463,0.77107,0.99268,0.98949,0.99466,0.94994,0.15387,0.26539,0.75674,0.000369054,0.000369054,0.000369054
8,393.949,0.17312,0.28962,0.77506,0.99387,0.99189,0.99489,0.96628,0.13705,0.25549,0.7593,0.000279063,0.000279063,0.000279063
9,437.713,0.14895,0.26935,0.77351,0.99312,0.99378,0.99492,0.96735,0.1318,0.24287,0.76011,0.000189072,0.000189072,0.000189072
10,481.572,0.13037,0.24995,0.76625,0.99725,0.99233,0.99497,0.97427,0.10651,0.21923,0.7594,9.9081e-05,9.9081e-05,9.9081e-05
