epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5956,0.72644,2.40164,0.96126,0.99604,0.97579,0.98504,0.89967,0.47312,0.85575,0.80647,0.000301894,0.000301894,0.000301894
2,117.621,0.46066,1.03132,0.83597,0.99866,0.97911,0.98848,0.91659,0.37721,0.51725,0.80178,0.00054501,0.00054501,0.00054501
3,165.989,0.38959,0.64971,0.81662,0.99582,0.98584,0.99124,0.93333,0.33112,0.36269,0.79396,0.000728131,0.000728131,0.000728131
4,210.684,0.34114,0.47584,0.80732,0.99749,0.98142,0.99312,0.94399,0.28589,0.32785,0.79969,0.000639027,0.000639027,0.000639027
5,254.358,0.28946,0.39082,0.79862,0.99295,0.98432,0.99467,0.95864,0.25968,0.29151,0.79408,0.000549036,0.000549036,0.000549036
6,298.165,0.24886,0.34992,0.78986,0.99341,0.98762,0.99413,0.9722,0.20285,0.27368,0.78943,0.000459045,0.000459045,0.000459045
7,341.754,0.22079,0.31785,0.77783,0.99736,0.98703,0.99467,0.9615,0.16557,0.25755,0.78181,0.000369054,0.000369054,0.000369054
8,385.51,0.19342,0.29263,0.78181,0.99289,0.99297,0.9948,0.97472,0.16785,0.27114,0.77644,0.000279063,0.000279063,0.000279063
9,429.333,0.17369,0.2741,0.77963,0.99702,0.9907,0.99488,0.9533,0.13437,0.23526,0.77261,0.000189072,0.000189072,0.000189072
10,472.79,0.15253,0.25396,0.77085,0.99624,0.99072,0.99493,0.98988,0.11385,0.19832,0.77019,9.9081e-05,9.9081e-05,9.9081e-05
