epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7453,0.6766,2.33118,0.95534,0.99794,0.9799,0.98539,0.9088,0.4344,0.80567,0.79144,0.000301894,0.000301894,0.000301894
2,118.105,0.43186,1.00368,0.83248,0.99911,0.97946,0.98704,0.92097,0.37726,0.55352,0.78062,0.00054501,0.00054501,0.00054501
3,162.903,0.36672,0.62576,0.81261,0.99599,0.98281,0.99223,0.92898,0.31579,0.334,0.78681,0.000728131,0.000728131,0.000728131
4,206.881,0.31704,0.4635,0.80386,0.9958,0.97978,0.98851,0.95053,0.25358,0.3447,0.78014,0.000639027,0.000639027,0.000639027
5,250.764,0.25763,0.38775,0.79356,0.99212,0.98673,0.99343,0.9585,0.23672,0.30225,0.77482,0.000549036,0.000549036,0.000549036
6,294.779,0.22466,0.34306,0.78696,0.99638,0.98656,0.99459,0.95126,0.20268,0.3158,0.77037,0.000459045,0.000459045,0.000459045
7,338.414,0.1944,0.30601,0.77389,0.99473,0.98519,0.9936,0.96294,0.16631,0.26954,0.75648,0.000369054,0.000369054,0.000369054
8,382.491,0.1725,0.28939,0.77792,0.99418,0.98972,0.9946,0.95879,0.13302,0.24337,0.77055,0.000279063,0.000279063,0.000279063
9,426.338,0.14851,0.26362,0.77514,0.99661,0.99024,0.99493,0.96192,0.1277,0.25781,0.75915,0.000189072,0.000189072,0.000189072
10,470.584,0.1287,0.24796,0.76821,0.9942,0.99297,0.99496,0.96191,0.10104,0.23473,0.75128,9.9081e-05,9.9081e-05,9.9081e-05
