epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6475,0.63622,2.25773,0.9428,0.98021,0.82482,0.92441,0.65406,1.06324,1.50447,1.01561,0.000301894,0.000301894,0.000301894
2,117.92,0.39238,0.93953,0.82929,0.86352,0.82908,0.89264,0.64223,1.08377,1.4862,1.01057,0.00054501,0.00054501,0.00054501
3,162.448,0.33287,0.57482,0.81361,0.79757,0.84004,0.84888,0.54412,1.29668,1.32944,1.17739,0.000728131,0.000728131,0.000728131
4,206.361,0.30666,0.42285,0.80892,0.94124,0.84252,0.89407,0.60166,1.1435,0.96695,1.11787,0.000639027,0.000639027,0.000639027
5,250.654,0.25347,0.34804,0.80199,0.89005,0.83744,0.81346,0.60238,1.01886,1.03024,1.0908,0.000549036,0.000549036,0.000549036
6,294.773,0.21762,0.30179,0.79799,0.99356,0.69878,0.96011,0.64087,1.1359,0.84474,1.08419,0.000459045,0.000459045,0.000459045
7,338.646,0.18252,0.27889,0.7787,0.78243,0.97261,0.93851,0.56117,1.3712,1.04121,1.23757,0.000369054,0.000369054,0.000369054
8,382.868,0.15557,0.23988,0.78304,0.77424,0.93734,0.90792,0.65232,1.08626,0.76101,1.10669,0.000279063,0.000279063,0.000279063
9,426.73,0.13431,0.20851,0.77871,0.86333,0.85269,0.94104,0.67304,1.08445,0.78215,1.12232,0.000189072,0.000189072,0.000189072
10,470.81,0.11362,0.18947,0.768,0.90992,0.83641,0.95946,0.64775,1.23461,0.9186,1.22758,9.9081e-05,9.9081e-05,9.9081e-05
