epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5672,0.65799,2.34617,0.93637,0.99934,0.97507,0.98439,0.94364,0.40864,0.72638,0.78022,0.000301894,0.000301894,0.000301894
2,117.951,0.40043,0.98996,0.82019,0.99583,0.98289,0.98861,0.93586,0.38452,0.52532,0.78408,0.00054501,0.00054501,0.00054501
3,162.168,0.34261,0.62988,0.80559,0.9982,0.9834,0.98983,0.94945,0.27195,0.35707,0.77892,0.000728131,0.000728131,0.000728131
4,206.086,0.29787,0.46686,0.7941,0.99094,0.98556,0.99107,0.96532,0.24896,0.33159,0.78661,0.000639027,0.000639027,0.000639027
5,249.571,0.24929,0.3869,0.78873,0.99653,0.98429,0.99427,0.94753,0.21815,0.35693,0.76766,0.000549036,0.000549036,0.000549036
6,293.37,0.21673,0.34278,0.78225,0.99661,0.98957,0.99468,0.95077,0.16966,0.30173,0.76568,0.000459045,0.000459045,0.000459045
7,336.783,0.18944,0.30385,0.77196,0.99631,0.98597,0.99445,0.97389,0.16129,0.27536,0.75985,0.000369054,0.000369054,0.000369054
8,380.543,0.1704,0.26624,0.77661,0.99406,0.99276,0.99492,0.98821,0.14469,0.22561,0.76295,0.000279063,0.000279063,0.000279063
9,424.067,0.14555,0.2378,0.77468,0.99475,0.99541,0.99497,0.98951,0.10732,0.21466,0.75175,0.000189072,0.000189072,0.000189072
10,467.685,0.1259,0.21559,0.76471,0.99767,0.99148,0.99495,0.98992,0.09866,0.17304,0.75631,9.9081e-05,9.9081e-05,9.9081e-05
