epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9345,0.65737,2.29148,0.95003,0.99841,0.97777,0.98782,0.87983,0.51266,0.84305,0.82958,0.000301894,0.000301894,0.000301894
2,118.333,0.42606,0.96628,0.83135,0.998,0.97934,0.98862,0.92176,0.44049,0.54192,0.79425,0.00054501,0.00054501,0.00054501
3,163.167,0.37034,0.59521,0.81364,0.99848,0.97776,0.98957,0.92097,0.37206,0.33107,0.78344,0.000728131,0.000728131,0.000728131
4,207.25,0.31759,0.43786,0.80343,0.99739,0.98358,0.99283,0.93881,0.2734,0.30435,0.75445,0.000639027,0.000639027,0.000639027
5,251.06,0.26478,0.3592,0.79498,0.99378,0.9833,0.99342,0.94361,0.27862,0.29566,0.756,0.000549036,0.000549036,0.000549036
6,294.856,0.22393,0.32202,0.7881,0.99266,0.98389,0.99323,0.94512,0.23557,0.26569,0.75437,0.000459045,0.000459045,0.000459045
7,338.816,0.19472,0.29542,0.77674,0.97859,0.98919,0.9941,0.96824,0.21884,0.29554,0.74154,0.000369054,0.000369054,0.000369054
8,382.553,0.17142,0.27577,0.77872,0.99303,0.98698,0.9944,0.95356,0.18432,0.28374,0.72828,0.000279063,0.000279063,0.000279063
9,426.486,0.14767,0.24378,0.77481,0.99187,0.99147,0.99479,0.97051,0.14028,0.23935,0.73233,0.000189072,0.000189072,0.000189072
10,470.498,0.12761,0.21275,0.76935,0.99053,0.99506,0.99478,0.98861,0.12608,0.20509,0.7329,9.9081e-05,9.9081e-05,9.9081e-05
